Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
328,0.098496921,0.801417291,0.333670944,0.702920377,0.235174030
329,0.141558588,0.305996358,0.272802234,0.164437771,0.131243646
330,0.190014675,0.073645361,0.419457823,0.116369314,0.229443148
331,0.334905058,0.210204765,0.244154081,0.124700293,0.090750977
332,0.608219266,0.143917635,0.493016034,0.464301646,0.115203232
333,0.607703090,0.679775059,0.327818930,0.072071970,0.279884160
334,0.155866146,0.068846405,0.130107522,0.087019742,0.025758624
335,0.199985966,0.094124667,0.198409587,0.105861299,0.001576379
336,0.148959458,0.200648680,0.216637939,0.051689222,0.067678481
337,0.241297558,0.408956200,0.295049161,0.167658642,0.053751603
338,0.309261113,0.234686092,0.208078951,0.074575022,0.101182163
339,0.142000601,0.183560431,0.513030887,0.041559830,0.371030271
340,0.236511037,0.312284827,0.427919626,0.075773790,0.191408589
341,0.560580671,0.361258596,0.461130828,0.199322075,0.099449843
342,0.334734708,0.772715867,0.304869801,0.437981158,0.029864907
343,0.268659621,0.058777068,0.110563308,0.209882557,0.158096313
344,0.233395278,0.080432825,0.135518953,0.152962446,0.097876325
345,0.159158319,0.228065372,0.249767467,0.068907052,0.090609148
346,0.262878805,0.285388410,0.612642169,0.022509605,0.349763364
347,0.606899738,0.099722020,0.282996565,0.507177711,0.323903173
348,0.422961682,0.258127928,0.226575628,0.164833754,0.196386054
349,0.239243612,0.268766165,0.300876677,0.029522553,0.061633065
350,0.249806613,0.332739919,0.465618044,0.082933307,0.215811431
351,0.392950416,0.182478368,0.123149931,0.210472047,0.269800484
352,0.251649886,0.127533421,0.043521959,0.124116465,0.208127931
353,0.285628200,0.048341896,0.059372690,0.237286299,0.226255506
354,0.134292707,0.076488584,0.282992452,0.057804123,0.148699746
355,0.072049342,0.199600160,0.879466712,0.127550811,0.807417393
356,0.415966362,0.199651465,0.231037989,0.216314897,0.184928373
357,0.472195894,0.279098392,0.047122072,0.193097502,0.425073832
358,0.393203378,0.430944860,0.089539573,0.037741482,0.303663790
359,0.356156498,0.773911536,0.249503300,0.417755038,0.106653199
360,0.202654347,0.353091717,0.122540221,0.150437370,0.080114126
361,0.175229356,0.247249454,0.054750118,0.072020099,0.120479241
362,0.452401996,0.142638713,0.064086750,0.309763283,0.388315260
363,0.335022420,0.159715071,0.219449714,0.175307348,0.115572706
364,0.208705321,0.081397228,0.908033311,0.127308100,0.699328005
365,0.416541696,0.168263286,0.133292228,0.248278409,0.283249468
366,0.403927714,0.156398848,0.078045160,0.247528866,0.325882554
367,0.250190377,0.240090430,0.170574442,0.010099947,0.079615936
368,0.410488248,0.807029843,0.228567645,0.396541595,0.181920603
369,0.961857080,0.828761220,0.440649718,0.133095860,0.521207333
370,0.029063942,0.307626128,0.082192212,0.278562188,0.053128272
371,0.044158921,0.183038056,0.071706213,0.138879135,0.027547292
372,0.058783796,0.192767262,0.083140880,0.133983463,0.024357084
373,0.044844266,0.109777205,0.575076997,0.064932942,0.530232728
374,0.140472770,0.137997255,0.148427621,0.002475515,0.007954851
375,0.093609981,0.056308556,0.091130659,0.037301425,0.002479322
376,0.019821873,0.081263393,0.157940999,0.061441518,0.138119131
377,0.194116816,0.327093661,0.633264244,0.132976845,0.439147413
378,0.527612865,0.608075559,0.633797407,0.080462694,0.106184542
379,0.092078082,0.222395137,0.108597606,0.130317062,0.016519524
380,0.202944532,0.241838753,0.068761677,0.038894221,0.134182855
381,0.225181594,0.285125077,0.045997005,0.059943482,0.179184586
382,0.185279310,0.437350303,0.021980556,0.252070993,0.163298756
383,0.183166042,0.143170506,0.017665355,0.039995536,0.165500686
384,0.391842037,0.086763792,0.042973403,0.305078238,0.348868638
385,0.246038362,0.288423032,0.081119068,0.042384669,0.164919287
386,0.582494378,0.372173846,0.755275607,0.210320532,0.172781229
387,0.380393893,0.286941856,0.649150670,0.093452036,0.268756777
388,0.109589599,0.079732679,0.206554160,0.029856920,0.096964560
389,0.143085316,0.158389866,0.082158059,0.015304551,0.060927257
390,0.158627465,0.286829054,0.045257937,0.128201589,0.113369524
391,0.122637227,0.691322029,0.043080904,0.568684816,0.079556324
392,0.175557569,0.383295208,0.031897478,0.207737640,0.143660098
393,0.257549286,0.104212880,0.076342382,0.153336406,0.181206912
394,0.418706983,0.271851093,0.222393036,0.146855891,0.196313947
395,0.714245796,0.307154834,0.684821308,0.407090962,0.029424489
396,0.304926485,0.386417538,0.371357739,0.081491053,0.066431254
397,0.036056314,0.091624655,0.199378222,0.055568341,0.163321912
398,0.165816337,0.122727998,0.062350467,0.043088339,0.103465870
399,0.140644923,0.285346776,0.057666909,0.144701853,0.082978010
400,0.252707571,0.483727574,0.067515008,0.231020004,0.185192555
401,0.347716838,0.363853365,0.162565544,0.016136527,0.185151294
402,0.204522729,0.194446236,0.211225599,0.010076493,0.006702870
403,0.404643714,0.371703029,0.652726054,0.032940686,0.248082340
404,0.684185386,0.451051384,0.559888661,0.233134001,0.124296725
405,0.148710564,0.569374144,0.346697092,0.420663595,0.197986528
406,0.055570841,0.107699379,0.143711433,0.052128538,0.088140592
407,0.125304803,0.148731992,0.102381706,0.023427188,0.022923097
408,0.115516581,0.447219580,0.061961532,0.331703007,0.053555049
409,0.239642009,0.463640362,0.040869981,0.223998353,0.198772028
410,0.641163826,0.150837466,0.122016244,0.490326345,0.519147575
411,0.387547702,0.331717730,0.150401428,0.055829972,0.237146273
412,0.516282797,0.192989752,0.477579117,0.323293030,0.038703680
413,0.245949447,0.238938093,0.759977758,0.007011354,0.514028311
414,0.157162786,0.337558985,0.414929628,0.180396199,0.257766843
415,0.086195447,0.188154578,0.135648325,0.101959132,0.049452879
416,0.115908973,0.107506029,0.131290928,0.008402944,0.015381955
417,0.066710286,0.180641055,0.063900642,0.113930769,0.002809644
418,0.096687891,0.268653542,0.054893076,0.171965659,0.041794814
419,0.426786959,0.096610688,0.071232833,0.330176264,0.355554134
420,0.435461015,0.255113572,0.097092688,0.180347443,0.338368326
421,0.706301391,0.353887171,0.268117607,0.352414221,0.438183784
422,0.264578134,0.731187820,0.835889399,0.466609687,0.571311235
423,0.129515588,0.335924983,0.384935647,0.206409395,0.255420059
424,0.120698266,0.146588221,0.142208636,0.025889955,0.021510370
425,0.250436932,0.144881591,0.081606984,0.105555341,0.168829948
426,0.253442347,0.079049543,0.072262518,0.174392805,0.181179821
427,0.180352896,0.159118250,0.062055033,0.021234646,0.118297860
428,0.253281832,0.109228976,0.119042158,0.144052863,0.134239674
429,0.346664876,0.161034554,0.177380741,0.185630322,0.169284135
430,0.687846899,0.328997672,0.408293813,0.358849227,0.279553086
431,0.389508933,0.816704094,0.776871979,0.427195162,0.387363046
